mcId,mcTitle,keyPhrases,description
101,Ремонт квартир и домов под ключ,"ремонт под ключ;отделка под ключ;комплексный ремонт;капитальный ремонт;косметический ремонт;черновая отделка;чистовая отделка;ремонт квартир;ремонт домов;отделочные работы",Контейнерная категория. Из результатов детекции исключается всегда.
102,Сантехника,"сантехника;сантехнические работы;сантехник;установка сантехники;ремонт сантехники;водоснабжение;водопровод;канализация;разводка труб;замена труб;монтаж труб;полипропилен;замена стояка;установка унитаза;установка ванны;установка душевой кабины;подключение стиральной машины;установка смесителя;установка раковины;замена смесителя;водоразводка;отопление;радиатор отопления;теплый пол водяной;санузел под ключ;ванная комната под ключ",Монтаж и ремонт водоснабжения канализации и сантехнических приборов.
103,Электрика,"электрика;электрик;электромонтаж;электромонтажные работы;электропроводка;замена проводки;монтаж электрики;электрические работы;электроснабжение;установка розеток;замена розеток;установка выключателей;монтаж щитка;сборка щита;прокладка кабеля;штробление под проводку;установка люстры;монтаж освещения;подключение техники;автоматы узо",Прокладка и замена проводки монтаж щитов розеток и освещения.
104,Натяжные потолки,"натяжные потолки;натяжной потолок;установка натяжных потолков;монтаж натяжных потолков;потолки пвх;тканевые потолки;матовый потолок;глянцевый потолок;двухуровневый потолок;парящий потолок;потолок с подсветкой;замер натяжных потолков;багет для натяжного потолка",Замер и монтаж натяжных потолочных полотен.
105,Укладка плитки,"укладка плитки;плиточные работы;плиточник;облицовка плиткой;кафель;кафельная плитка;керамогранит;мозаика;затирка швов;укладка керамогранита;плитка в ванной;фартук на кухню;укладка мозаики;резка плитки;гидроизоляция под плитку",Облицовка стен и полов керамической плиткой и керамогранитом.
106,Поклейка обоев,"поклейка обоев;оклейка обоев;обои;поклеить обои;флизелиновые обои;виниловые обои;жидкие обои;обои под покраску;подготовка стен под обои;стыковка обоев;фотообои;бордюр обойный",Подготовка стен и наклейка обойных полотен.
107,Малярные работы,"малярные работы;малярка;маляр;покраска;покрасить;окраска;покраска стен;покраска потолка;покраска дверей;декоративная штукатурка;венецианская штукатурка;нанесение краски;грунтовка под покраску;колеровка;покраска радиаторов",Окраска поверхностей и декоративные покрытия.
108,Штукатурные работы,"штукатурные работы;штукатурка;штукатурка стен;оштукатуривание;штукатурка по маякам;машинная штукатурка;механизированная штукатурка;шпаклевка;шпатлевка;шпаклевка стен;выравнивание стен;выравнивание потолка;установка маяков;гипсовая штукатурка;цементная штукатурка",Выравнивание стен и потолков штукатурными и шпаклёвочными составами.
109,Напольные покрытия,"напольные покрытия;укладка ламината;ламинат;линолеум;кварцвинил;паркет;паркетная доска;массивная доска;укладка пола;стяжка пола;наливной пол;подложка под ламинат;плинтус напольный;укладка линолеума;шлифовка паркета;теплый пол электрический",Устройство оснований и укладка финишных напольных покрытий.
110,Гипсокартон,"гипсокартон;монтаж гипсокартона;работы с гипсокартоном;гкл;гвл;гипрок;перегородки из гипсокартона;короб из гипсокартона;ниша из гипсокартона;подвесной потолок из гипсокартона;обшивка стен гипсокартоном;каркас под гипсокартон;профиль для гипсокартона;многоуровневый потолок гкл",Возведение перегородок коробов и потолков из листовых материалов.
111,Демонтажные работы,"демонтажные работы;демонтаж;демонтаж стен;демонтаж перегородок;снос перегородок;демонтаж отделки;демонтаж пола;демонтаж полов;демонтаж покрытий;демонтаж плитки;демонтаж старой плитки;демонтаж дверей;демонтаж окон;демонтаж кухни;алмазная резка;вынос мусора;слом стен;разборка конструкций;подготовка квартиры к ремонту;полный демонтаж;частичный демонтаж",Снос конструкций и удаление старой отделки с вывозом мусора.
